,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
4,88,ACKPFP,25.2,---,+68.00%,100,7,7,fda57500-27b7-4d11-bbdc-36a2fad8c0e7
13,89,God Hates NFTees,24.62,+5.08%,-62.83%,0.33,2.3K,5.0K,785e0915-afd0-470f-9f2a-aae9a88acf92
11,90,PG: GENESIS,24.5,---,+315.08%,12.6,54,333,2be74fb3-eb68-46cc-849c-8762c4672074
11,91,META KONGZ OFFICIAL,24.38,+151.55%,+32.77%,1.1,2.8K,9.7K,6e411b61-6135-4564-8b32-b99ff7d3520b
2,92,RTFKT X NIKE MONOLITH,23.81,-26.87%,-2.34%,1.9,6.5K,1,9f23650b-065e-4975-9bfb-66668d6e2716
10,93,Minute Men - autogen,909.03,---,---,---,---,---,fdaedf5b-a038-4b43-bae0-2cbe6b4acc57
8,94,CosplayX V2,904.3,---,---,---,201,333,f53eecd2-b9c7-4a8d-bd2c-5003ab57702e
9,95,World of Women Galaxy,22.21,+128.43%,-11.71%,0.42,11.6K,21.4K,644a6f6d-e04a-48a8-aec1-c206a042fb3b
3,96,Chromie Squiggle by Snowfro,21.93,+126.08%,-34.14%,10.49,2.7K,9.7K,3c15e0b6-94c7-4b61-a783-015465b8bebc
7,97,Admit One,21.5,-8.52%,-39.25%,13.45,885,1.0K,98d9aa99-4607-4afa-96a4-ebf57c4841f5
4,98,Treeverse,21.4,+43.09%,-9.67%,---,4.5K,20.3K,d4d88245-5a1c-4552-9c8d-91bbb94e037d
5,99,Joker Charlie Club Genesis,21.28,+74.14%,+90.58%,2.35,184,555,d039b0f8-93d3-4649-9d25-8c1157967d9b
6,100,Impostors Genesis Aliens,20.93,+54.89%,-46.98%,0.75,5.0K,10.4K,060dbbc8-bbae-42b0-94e1-3925fc7fbd59
25,101,Partyland.io,20.85,-59.32%,---,0.14,1.1K,160.0K,f0935ff5-ceb7-4c6e-8d86-ef38770dd2f3
23,102,Sengoku Degens - autogen,809.18,---,---,---,---,---,e846ba19-d2b7-48c8-9b07-a4c96192bebd
24,103,Art Blocks Factory,20.12,-42.65%,-43.67%,---,26.1K,107.1K,7001b06f-57fc-4194-a796-8be29086e8c1
19,104,METAKAMI: Enter the Void,19.83,+1196.10%,+85.88%,0.02,987,3.3K,62a2adbd-0551-4e21-a0d6-929e3482a5fe
22,105,Hume Genesis,19.66,+101.22%,---,0.39,632,1.0K,2f407252-d6f8-4a99-b2ef-3e803f645d84
20,106,PREMINT Collector Pass - OFFICIAL,19.43,-3.40%,-41.08%,0.8,8.3K,10.0K,ed5b044d-cb29-4a92-8f91-201b2e5315e3
21,107,Treeverse Plots,19.12,+33.21%,+69.97%,1.09,3.5K,10.4K,9e68b6d1-18db-4753-ae7f-719cf7ab1413
0,108,KATATONIK,18.89,-50.61%,---,0.18,966,2.5K,8411c97b-7272-4ae2-a914-21c0e51f1a6d
18,109,Bored & Dangerous,18.85,-21.32%,+15.81%,0.42,3.9K,14.8K,bb214bfc-487c-4455-ba7d-b4e7be99de3c
16,110,FLUF World,18.8,-37.45%,+8.97%,2.75,3.6K,10.0K,85e79e38-18f3-4abe-9348-687a4cc400f9
17,111,Everdome Genesis Collection,18.49,+479.51%,+66.52%,0.3,9.1K,9.8K,f8d3894a-0e4c-4373-aa13-78e526203945
12,112,The Sandbox,18.41,-55.04%,-42.08%,1.85,21.7K,163.5K,23f28ccf-4922-46a9-916e-c5bffb8ee5b2
15,113,Lazy Lions,18.39,-3.94%,-6.12%,0.65,5.1K,10.1K,ac6e5f53-0998-465b-a3fb-28b0e024c961
13,114,PF - autogen - wOfBCqPfoQ,717.15,---,---,---,---,---,f5ba82f9-fd72-4473-a58f-cd7032afaf71
14,115,Bubblegoose Ballers,709.09,+55.76%,+85.00%,11.5,2.6K,7.7K,7c8d693e-813e-4780-93d7-afd65147641a
1,116,The Americans NFT,17.89,+20.15%,-73.69%,0.05,2.2K,10.0K,a3b05a82-0c90-4718-98bb-f8c5c37f77fa
11,117,The Seekers,17.87,+492.58%,-41.61%,0.09,6.3K,47.9K,827486a4-4a88-414c-8851-bfdf47da3e0b
9,118,SuperRare,17.74,+30.53%,+53.03%,0.15,7.0K,32.9K,f0553b9c-5c90-4b7b-b1ff-1bb9d9d975ab
10,119,DEGEN TOONZ COLLECTION,17.72,-6.65%,-3.20%,0.5,3.8K,8.9K,61dcad2c-5513-412e-9490-f8565cd05815
